Record #:  0,,,,,,,,,,
Notes :,,,,,,,,,,
Oxo med v2,,,,,,,,,,
,,,,,,,,,,
01/06/202621:24:01,,,,,,,,,,
ADC Register Settings,,,,,,,,,,
,,,,,,,,,,
Register,Address,Value,D7,D6,D5,D4,D3,D2,D1,D0
ID,0x00,0x73,0,1,1,1,0,0,1,1
CONFIG1,0x01,0x02,0,0,0,0,0,0,1,0
CONFIG2,0x02,0xE0,1,1,1,0,0,0,0,0
LOFF,0x03,0xF0,1,1,1,1,0,0,0,0
CH1SET,0x04,0x00,0,0,0,0,0,0,0,0
CH2SET,0x05,0x00,0,0,0,0,0,0,0,0
RLD_SENS,0x06,0x2C,0,0,1,0,1,1,0,0
LOFF_SENS,0x07,0x0F,0,0,0,0,1,1,1,1
LOFF_STAT,0x08,0x09,0,0,0,0,1,0,0,1
RESP1,0x09,0xEA,1,1,1,0,1,0,1,0
RESP2,0x0A,0x03,0,0,0,0,0,0,1,1
GPIO,0x0B,0x0C,0,0,0,0,1,1,0,0